images\448.jpg Annotatio\448.png
images\Rissbilder_for_Florian_9S6A2812_532_1519_3053_2342.jpg Annotatio\Rissbilder_for_Florian_9S6A2812_532_1519_3053_2342.png
images\aug_145.jpg Annotatio\aug_145.png
images\Rissbilder_for_Florian_9S6A2787_883_1296_2596_2107.jpg Annotatio\Rissbilder_for_Florian_9S6A2787_883_1296_2596_2107.png
images\Rissbilder_for_Florian_9S6A3105_58_287_3766_3264.jpg Annotatio\Rissbilder_for_Florian_9S6A3105_58_287_3766_3264.png
images\GAPS384_train_0701_541_1.jpg Annotatio\GAPS384_train_0701_541_1.png
images\Volker_DSC01665_779_1400_954_1202.jpg Annotatio\Volker_DSC01665_779_1400_954_1202.png
images\aug_IMG_20190821_200607_BURST2_1.jpg Annotatio\aug_IMG_20190821_200607_BURST2_1.png
images\091.jpg Annotatio\091.png
images\CRACK500_20160329_094016_1921_361.jpg Annotatio\CRACK500_20160329_094016_1921_361.png
images\DeepCrack_11158.jpg Annotatio\DeepCrack_11158.png
images\CRACK500_20160303_093527_641_721.jpg Annotatio\CRACK500_20160303_093527_641_721.png
images\noncrack_noncrack_concrete_wall_9_16.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_16.jpg.png
images\DeepCrack_7Q3A9060-12.jpg Annotatio\DeepCrack_7Q3A9060-12.png
images\aug_IMG_3781_3.jpg Annotatio\aug_IMG_3781_3.png
images\CRACK500_20160328_153732_641_361.jpg Annotatio\CRACK500_20160328_153732_641_361.png
images\CRACK500_20160328_153915_1_721.jpg Annotatio\CRACK500_20160328_153915_1_721.png
images\Rissbilder_for_Florian_9S6A2831_601_540_2731_2954.jpg Annotatio\Rissbilder_for_Florian_9S6A2831_601_540_2731_2954.png
images\noncrack_noncrack_concrete_wall_78_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_78_0.jpg.png
images\GAPS384_train_0961_1_641.jpg Annotatio\GAPS384_train_0961_1_641.png
images\Rissbilder_for_Florian_9S6A2811_1993_515_3583_2959.jpg Annotatio\Rissbilder_for_Florian_9S6A2811_1993_515_3583_2959.png
images\Volker_DSC01698_218_46_1910_1738.jpg Annotatio\Volker_DSC01698_218_46_1910_1738.png
images\CRACK500_20160328_153657_1_721.jpg Annotatio\CRACK500_20160328_153657_1_721.png
images\IMG_20190821_201235_BURST2_2.jpg Annotatio\IMG_20190821_201235_BURST2_2.png
images\Rissbilder_for_Florian_9S6A2876_362_251_2707_2719.jpg Annotatio\Rissbilder_for_Florian_9S6A2876_362_251_2707_2719.png
images\CRACK500_20160328_151244_1_1081.jpg Annotatio\CRACK500_20160328_151244_1_1081.png
images\IMG_20190813_120331_BURST5_1.jpg Annotatio\IMG_20190813_120331_BURST5_1.png
images\Rissbilder_for_Florian_9S6A3119_1174_2502_2495_3191.jpg Annotatio\Rissbilder_for_Florian_9S6A3119_1174_2502_2495_3191.png
images\543.jpg Annotatio\543.png
images\CRACK500_20160326_142745_641_361.jpg Annotatio\CRACK500_20160326_142745_641_361.png
images\aug_IMG_3406_1.jpg Annotatio\aug_IMG_3406_1.png
images\Volker_DSC01701_537_291_1230_1215.jpg Annotatio\Volker_DSC01701_537_291_1230_1215.png
images\noncrack_noncrack_concrete_wall_55_23.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_55_23.jpg.png
images\IMG_3524.jpg Annotatio\IMG_3524.png
images\CRACK500_20160328_153724_641_1.jpg Annotatio\CRACK500_20160328_153724_641_1.png
images\CRACK500_20160222_115224_1281_1.jpg Annotatio\CRACK500_20160222_115224_1281_1.png
images\CRACK500_20160413_113422_1281_361.jpg Annotatio\CRACK500_20160413_113422_1281_361.png
images\Rissbilder_for_Florian_9S6A2788_453_1880_3359_3447.jpg Annotatio\Rissbilder_for_Florian_9S6A2788_453_1880_3359_3447.png
images\aug_306.jpg Annotatio\aug_306.png
images\CRACK500_20160222_164936_641_721.jpg Annotatio\CRACK500_20160222_164936_641_721.png
images\433.jpg Annotatio\433.png
images\Rissbilder_for_Florian_9S6A3130_190_1907_3510_2920.jpg Annotatio\Rissbilder_for_Florian_9S6A3130_190_1907_3510_2920.png
images\GAPS384_train_1304_1_1.jpg Annotatio\GAPS384_train_1304_1_1.png
images\Rissbilder_for_Florian_9S6A3137_972_826_2808_2254.jpg Annotatio\Rissbilder_for_Florian_9S6A3137_972_826_2808_2254.png
images\Rissbilder_for_Florian_9S6A2897_575_1892_2708_3567.jpg Annotatio\Rissbilder_for_Florian_9S6A2897_575_1892_2708_3567.png
images\Rissbilder_for_Florian_9S6A2840_24_1463_3669_3209.jpg Annotatio\Rissbilder_for_Florian_9S6A2840_24_1463_3669_3209.png
images\CRACK500_20160308_073213_1_361.jpg Annotatio\CRACK500_20160308_073213_1_361.png
images\Rissbilder_for_Florian_9S6A2909_296_2910_2202_2582.jpg Annotatio\Rissbilder_for_Florian_9S6A2909_296_2910_2202_2582.png
images\CRACK500_20160308_160053_641_361.jpg Annotatio\CRACK500_20160308_160053_641_361.png
images\DeepCrack_11156.jpg Annotatio\DeepCrack_11156.png
images\Rissbilder_for_Florian_9S6A3131_0_0_3840_5760.jpg Annotatio\Rissbilder_for_Florian_9S6A3131_0_0_3840_5760.png
images\noncrack_noncrack_concrete_wall_62_4.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_62_4.jpg.png
images\aug_IMG_20190813_122154_BURST5_1.jpg Annotatio\aug_IMG_20190813_122154_BURST5_1.png
images\Rissbilder_for_Florian_9S6A2835_433_1584_3380_3397.jpg Annotatio\Rissbilder_for_Florian_9S6A2835_433_1584_3380_3397.png
images\CRACK500_20160330_165333_641_721.jpg Annotatio\CRACK500_20160330_165333_641_721.png
images\noncrack_noncrack_concrete_wall_23_1.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_23_1.jpg.png
images\Rissbilder_for_Florian_9S6A2823_1599_1851_2087_2301.jpg Annotatio\Rissbilder_for_Florian_9S6A2823_1599_1851_2087_2301.png
images\IMG_20190813_120331_BURST5_2.jpg Annotatio\IMG_20190813_120331_BURST5_2.png
images\CRACK500_20160318_084343_1_721.jpg Annotatio\CRACK500_20160318_084343_1_721.png
images\Eugen_Muller_4470_69_222_863_844.jpg Annotatio\Eugen_Muller_4470_69_222_863_844.png
images\Rissbilder_for_Florian_9S6A2885_469_491_3020_2446.jpg Annotatio\Rissbilder_for_Florian_9S6A2885_469_491_3020_2446.png
images\CRACK500_20160326_142354_641_721.jpg Annotatio\CRACK500_20160326_142354_641_721.png
images\190.jpg Annotatio\190.png
images\Rissbilder_for_Florian_9S6A2820_133_432_3697_3818.jpg Annotatio\Rissbilder_for_Florian_9S6A2820_133_432_3697_3818.png
images\IMG_3417_2.jpg Annotatio\IMG_3417_2.png
images\noncrack_noncrack_concrete_wall_9_11.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_11.jpg.png
images\noncrack_noncrack_concrete_wall_47_3.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_47_3.jpg.png
images\GAPS384_train_1365_1_641.jpg Annotatio\GAPS384_train_1365_1_641.png
images\Rissbilder_for_Florian_9S6A2910_70_3008_2463_2293.jpg Annotatio\Rissbilder_for_Florian_9S6A2910_70_3008_2463_2293.png
images\CRACK500_20160329_115531_1921_721.jpg Annotatio\CRACK500_20160329_115531_1921_721.png
images\aug_062.jpg Annotatio\aug_062.png
images\Volker_DSC01659_136_353_1605_1927.jpg Annotatio\Volker_DSC01659_136_353_1605_1927.png
images\noncrack_noncrack_concrete_wall_44_5.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_44_5.jpg.png
images\Rissbilder_for_Florian_9S6A2877_304_1360_2589_2329.jpg Annotatio\Rissbilder_for_Florian_9S6A2877_304_1360_2589_2329.png
images\Rissbilder_for_Florian_9S6A2908_477_104_4046_3187.jpg Annotatio\Rissbilder_for_Florian_9S6A2908_477_104_4046_3187.png
images\Rissbilder_for_Florian_9S6A2862_236_1165_3172_3063.jpg Annotatio\Rissbilder_for_Florian_9S6A2862_236_1165_3172_3063.png
images\CRACK500_20160405_171410_1_721.jpg Annotatio\CRACK500_20160405_171410_1_721.png
images\Rissbilder_for_Florian_9S6A2817_66_2302_3769_3258.jpg Annotatio\Rissbilder_for_Florian_9S6A2817_66_2302_3769_3258.png
images\noncrack_noncrack_concrete_wall_74_15.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_74_15.jpg.png
images\CRACK500_20160328_154017_1921_361.jpg Annotatio\CRACK500_20160328_154017_1921_361.png
images\CRACK500_20160307_163627_1_361.jpg Annotatio\CRACK500_20160307_163627_1_361.png
images\noncrack_noncrack_concrete_wall_61_11.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_61_11.jpg.png
images\CRACK500_20160328_151814_1_721.jpg Annotatio\CRACK500_20160328_151814_1_721.png
images\IMG_3550_1.jpg Annotatio\IMG_3550_1.png
images\GAPS384_train_1362_1_1.jpg Annotatio\GAPS384_train_1362_1_1.png
images\CRACK500_20160330_170308_1_361.jpg Annotatio\CRACK500_20160330_170308_1_361.png
images\CRACK500_20160316_143629_1921_721.jpg Annotatio\CRACK500_20160316_143629_1921_721.png
images\Rissbilder_for_Florian_9S6A2832_644_1580_2332_2392.jpg Annotatio\Rissbilder_for_Florian_9S6A2832_644_1580_2332_2392.png
images\Rissbilder_for_Florian_9S6A3099_1_406_3836_3803.jpg Annotatio\Rissbilder_for_Florian_9S6A3099_1_406_3836_3803.png
images\noncrack_noncrack_concrete_wall_94_7.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_94_7.jpg.png
images\Rissbilder_for_Florian_9S6A2793_2878_285_2413_2824.jpg Annotatio\Rissbilder_for_Florian_9S6A2793_2878_285_2413_2824.png
images\CRACK500_20160330_170348_641_721.jpg Annotatio\CRACK500_20160330_170348_641_721.png
images\noncrack_noncrack_concrete_wall_24_45.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_24_45.jpg.png
images\CRACK500_20160329_101507_641_361.jpg Annotatio\CRACK500_20160329_101507_641_361.png
images\CRACK500_20160307_144924_641_721.jpg Annotatio\CRACK500_20160307_144924_641_721.png
images\CFD_084.jpg Annotatio\CFD_084.png
images\DeepCrack_11188-1.jpg Annotatio\DeepCrack_11188-1.png
images\373.jpg Annotatio\373.png
images\aug_IMG_20190821_203658_BURST2.jpg Annotatio\aug_IMG_20190821_203658_BURST2.png
images\Rissbilder_for_Florian_9S6A2904_679_1059_2825_2444.jpg Annotatio\Rissbilder_for_Florian_9S6A2904_679_1059_2825_2444.png
images\Rissbilder_for_Florian_9S6A2843_569_934_2723_2613.jpg Annotatio\Rissbilder_for_Florian_9S6A2843_569_934_2723_2613.png
images\cracktree200_6645.jpg Annotatio\cracktree200_6645.png
images\GAPS384_train_1242_541_641.jpg Annotatio\GAPS384_train_1242_541_641.png
images\CRACK500_20160405_171348_1281_361.jpg Annotatio\CRACK500_20160405_171348_1281_361.png
images\Rissbilder_for_Florian_9S6A3101_430_1464_3202_4258.jpg Annotatio\Rissbilder_for_Florian_9S6A3101_430_1464_3202_4258.png
images\Rissbilder_for_Florian_9S6A3096_0_0_3840_5760.jpg Annotatio\Rissbilder_for_Florian_9S6A3096_0_0_3840_5760.png
images\IMG_20190813_115807_BURST2.jpg Annotatio\IMG_20190813_115807_BURST2.png
images\CRACK500_20160222_115305_1281_1081.jpg Annotatio\CRACK500_20160222_115305_1281_1081.png
images\149.jpg Annotatio\149.png
images\CRACK500_20160402_150317_1921_721.jpg Annotatio\CRACK500_20160402_150317_1921_721.png
images\CRACK500_20160328_153813_641_721.jpg Annotatio\CRACK500_20160328_153813_641_721.png
images\DeepCrack_111212-1.jpg Annotatio\DeepCrack_111212-1.png
images\CRACK500_20160328_150933_1921_721.jpg Annotatio\CRACK500_20160328_150933_1921_721.png
images\Rissbilder_for_Florian_9S6A3110_187_259_3134_3609.jpg Annotatio\Rissbilder_for_Florian_9S6A3110_187_259_3134_3609.png
images\noncrack_noncrack_concrete_wall_89_6.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_89_6.jpg.png
images\noncrack_noncrack_concrete_wall_62_0.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_62_0.jpg.png
images\CRACK500_20160328_154429_641_361.jpg Annotatio\CRACK500_20160328_154429_641_361.png
images\Rissbilder_for_Florian_9S6A3112_47_2447_2561_2353.jpg Annotatio\Rissbilder_for_Florian_9S6A3112_47_2447_2561_2353.png
images\CRACK500_20160308_155731_641_1.jpg Annotatio\CRACK500_20160308_155731_641_1.png
images\aug_535.jpg Annotatio\aug_535.png
images\aug_IMG_20190821_200901_2.jpg Annotatio\aug_IMG_20190821_200901_2.png
images\CRACK500_20160308_074134_1281_721.jpg Annotatio\CRACK500_20160308_074134_1281_721.png
images\CRACK500_20160328_153536_1921_1.jpg Annotatio\CRACK500_20160328_153536_1921_1.png
images\CRACK500_20160329_094512_641_361.jpg Annotatio\CRACK500_20160329_094512_641_361.png
images\Rissbilder_for_Florian_9S6A2867_974_967_2697_2818.jpg Annotatio\Rissbilder_for_Florian_9S6A2867_974_967_2697_2818.png
images\IMG_20190813_113821.jpg Annotatio\IMG_20190813_113821.png
images\noncrack_noncrack_concrete_wall_89_4.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_89_4.jpg.png
images\Rissbilder_for_Florian_9S6A2829_1295_363_3628_2920.jpg Annotatio\Rissbilder_for_Florian_9S6A2829_1295_363_3628_2920.png
images\Rissbilder_for_Florian_9S6A2798_583_366_3243_2461.jpg Annotatio\Rissbilder_for_Florian_9S6A2798_583_366_3243_2461.png
images\aug_IMG_20190821_202556_BURST2_3.jpg Annotatio\aug_IMG_20190821_202556_BURST2_3.png
images\CRACK500_20160405_171353_1921_361.jpg Annotatio\CRACK500_20160405_171353_1921_361.png
images\Volker_DSC01635_856_143_1514_1524.jpg Annotatio\Volker_DSC01635_856_143_1514_1524.png
images\DeepCrack_11296-21.jpg Annotatio\DeepCrack_11296-21.png
images\CRACK500_20160316_142223_721_641.jpg Annotatio\CRACK500_20160316_142223_721_641.png
images\Volker_DSC01645_657_105_1485_1458.jpg Annotatio\Volker_DSC01645_657_105_1485_1458.png
images\GAPS384_train_1284_541_1.jpg Annotatio\GAPS384_train_1284_541_1.png
images\CRACK500_20160328_153616_641_721.jpg Annotatio\CRACK500_20160328_153616_641_721.png
images\Rissbilder_for_Florian_9S6A2846_137_897_3676_4116.jpg Annotatio\Rissbilder_for_Florian_9S6A2846_137_897_3676_4116.png
images\Rissbilder_for_Florian_9S6A2815_259_1111_2881_2575.jpg Annotatio\Rissbilder_for_Florian_9S6A2815_259_1111_2881_2575.png
images\Rissbilder_for_Florian_9S6A3109_137_956_3663_4429.jpg Annotatio\Rissbilder_for_Florian_9S6A3109_137_956_3663_4429.png
images\aug_IMG_3716_1.jpg Annotatio\aug_IMG_3716_1.png
images\20200228_111209.jpg Annotatio\20200228_111209.png
images\068.jpg Annotatio\068.png
images\Rissbilder_for_Florian_9S6A2788_218_964_3257_2771.jpg Annotatio\Rissbilder_for_Florian_9S6A2788_218_964_3257_2771.png
images\CRACK500_20160328_153915_1281_361.jpg Annotatio\CRACK500_20160328_153915_1281_361.png
images\IMG_3694_1.jpg Annotatio\IMG_3694_1.png
images\Rissbilder_for_Florian_9S6A2893_1232_1709_2163_2393.jpg Annotatio\Rissbilder_for_Florian_9S6A2893_1232_1709_2163_2393.png
images\GAPS384_train_1055_1_641.jpg Annotatio\GAPS384_train_1055_1_641.png
images\Volker_DSC01702_128_622_1625_2108.jpg Annotatio\Volker_DSC01702_128_622_1625_2108.png
images\noncrack_noncrack_concrete_wall_54_25.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_54_25.jpg.png
images\CRACK500_20160328_154325_1921_1.jpg Annotatio\CRACK500_20160328_154325_1921_1.png
images\Rissbilder_for_Florian_9S6A2800_817_399_2611_2043.jpg Annotatio\Rissbilder_for_Florian_9S6A2800_817_399_2611_2043.png
images\Volker_DSC01700_118_729_1178_1411.jpg Annotatio\Volker_DSC01700_118_729_1178_1411.png
images\Rissbilder_for_Florian_9S6A2848_353_705_3064_2432.jpg Annotatio\Rissbilder_for_Florian_9S6A2848_353_705_3064_2432.png
images\IMG_3260.jpg Annotatio\IMG_3260.png
images\Rissbilder_for_Florian_9S6A2789_560_954_3081_2435.jpg Annotatio\Rissbilder_for_Florian_9S6A2789_560_954_3081_2435.png
images\CRACK500_20160222_163940_1281_721.jpg Annotatio\CRACK500_20160222_163940_1281_721.png
images\IMG_3674.jpg Annotatio\IMG_3674.png
images\aug_IMG_3216.jpg Annotatio\aug_IMG_3216.png
images\20200228_110624.jpg Annotatio\20200228_110624.png
images\CRACK500_20160328_153813_1_1081.jpg Annotatio\CRACK500_20160328_153813_1_1081.png
images\Rissbilder_for_Florian_9S6A2902_196_1763_3593_3637.jpg Annotatio\Rissbilder_for_Florian_9S6A2902_196_1763_3593_3637.png
images\noncrack_noncrack_concrete_wall_9_32.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_32.jpg.png
images\Rissbilder_for_Florian_9S6A2808_704_198_2936_3541.jpg Annotatio\Rissbilder_for_Florian_9S6A2808_704_198_2936_3541.png
images\CRACK500_20160329_104152_1921_721.jpg Annotatio\CRACK500_20160329_104152_1921_721.png
images\CRACK500_20160328_153724_1281_361.jpg Annotatio\CRACK500_20160328_153724_1281_361.png
images\CRACK500_20160326_142354_641_1081.jpg Annotatio\CRACK500_20160326_142354_641_1081.png
images\cracktree200_6653.jpg Annotatio\cracktree200_6653.png
images\IMG_3412_2.jpg Annotatio\IMG_3412_2.png
images\CRACK500_20160330_164743_1921_361.jpg Annotatio\CRACK500_20160330_164743_1921_361.png
images\CRACK500_20160324_170655_1_721.jpg Annotatio\CRACK500_20160324_170655_1_721.png
images\noncrack_noncrack_concrete_wall_11_5.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_11_5.jpg.png
images\CRACK500_20160329_103609_721_641.jpg Annotatio\CRACK500_20160329_103609_721_641.png
images\CRACK500_20160222_081102_1_721.jpg Annotatio\CRACK500_20160222_081102_1_721.png
images\CRACK500_20160316_141736_1281_721.jpg Annotatio\CRACK500_20160316_141736_1281_721.png
images\CRACK500_20160328_153706_641_721.jpg Annotatio\CRACK500_20160328_153706_641_721.png
images\Rissbilder_for_Florian_9S6A2808_30_709_3501_4305.jpg Annotatio\Rissbilder_for_Florian_9S6A2808_30_709_3501_4305.png
images\noncrack_noncrack_concrete_wall_92_11.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_92_11.jpg.png
images\noncrack_noncrack_concrete_wall_18_8.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_18_8.jpg.png
images\noncrack_noncrack_concrete_wall_85_3.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_85_3.jpg.png
images\DeepCrack_11196.jpg Annotatio\DeepCrack_11196.png
images\Rissbilder_for_Florian_9S6A2853_0_0_5760_3840.jpg Annotatio\Rissbilder_for_Florian_9S6A2853_0_0_5760_3840.png
images\CRACK500_20160308_072951_1_1.jpg Annotatio\CRACK500_20160308_072951_1_1.png
images\CRACK500_20160328_151814_641_361.jpg Annotatio\CRACK500_20160328_151814_641_361.png
images\Rissbilder_for_Florian_9S6A2904_606_86_2668_2233.jpg Annotatio\Rissbilder_for_Florian_9S6A2904_606_86_2668_2233.png
images\Rissbilder_for_Florian_9S6A2797_0_0_3840_5760.jpg Annotatio\Rissbilder_for_Florian_9S6A2797_0_0_3840_5760.png
images\Volker_DSC01686_73_59_1743_1782.jpg Annotatio\Volker_DSC01686_73_59_1743_1782.png
images\aug_IMG_3650.jpg Annotatio\aug_IMG_3650.png
images\Volker_DSC01685_202_585_1600_1686.jpg Annotatio\Volker_DSC01685_202_585_1600_1686.png
images\CRACK500_20160308_160128_1281_1.jpg Annotatio\CRACK500_20160308_160128_1281_1.png
images\aug_IMG_20190813_115441_BURST3_1.jpg Annotatio\aug_IMG_20190813_115441_BURST3_1.png
images\GAPS384_train_1166_541_1.jpg Annotatio\GAPS384_train_1166_541_1.png
images\CRACK500_20160307_145259_1921_721.jpg Annotatio\CRACK500_20160307_145259_1921_721.png
images\Volker_DSC01647_823_67_1901_1719.jpg Annotatio\Volker_DSC01647_823_67_1901_1719.png
images\Rissbilder_for_Florian_9S6A2856_1376_255_3445_3143.jpg Annotatio\Rissbilder_for_Florian_9S6A2856_1376_255_3445_3143.png
images\aug_437.jpg Annotatio\aug_437.png
images\aug_20200227_092805_2.jpg Annotatio\aug_20200227_092805_2.png
images\noncrack_noncrack_concrete_wall_47_2.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_47_2.jpg.png
images\noncrack_noncrack_concrete_wall_20_8.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_20_8.jpg.png
images\aug_IMG_3186_1.jpg Annotatio\aug_IMG_3186_1.png
images\Rissbilder_for_Florian_9S6A2850_1044_219_4029_3600.jpg Annotatio\Rissbilder_for_Florian_9S6A2850_1044_219_4029_3600.png
images\Explorer_HD2K_SN24855_16-35-32.jpg Annotatio\Explorer_HD2K_SN24855_16-35-32.png
images\aug_369.jpg Annotatio\aug_369.png
images\Rissbilder_for_Florian_9S6A2846_150_1111_3551_3643.jpg Annotatio\Rissbilder_for_Florian_9S6A2846_150_1111_3551_3643.png
images\Rissbilder_for_Florian_9S6A3137_201_2087_3465_3669.jpg Annotatio\Rissbilder_for_Florian_9S6A3137_201_2087_3465_3669.png
images\noncrack_noncrack_concrete_wall_100_1.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_100_1.jpg.png
images\noncrack_noncrack_concrete_wall_18_12.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_18_12.jpg.png
images\Rissbilder_for_Florian_9S6A2911_84_282_2918_2851.jpg Annotatio\Rissbilder_for_Florian_9S6A2911_84_282_2918_2851.png
images\CRACK500_20160328_153616_641_1081.jpg Annotatio\CRACK500_20160328_153616_641_1081.png
images\Rissbilder_for_Florian_9S6A2865_402_376_2830_3345.jpg Annotatio\Rissbilder_for_Florian_9S6A2865_402_376_2830_3345.png
images\CRACK500_20160222_081031_641_361.jpg Annotatio\CRACK500_20160222_081031_641_361.png
images\Rissbilder_for_Florian_9S6A3129_29_2703_3065_2419.jpg Annotatio\Rissbilder_for_Florian_9S6A3129_29_2703_3065_2419.png
images\noncrack_noncrack_concrete_wall_9_33.jpg.jpg Annotatio\noncrack_noncrack_concrete_wall_9_33.jpg.png
images\CRACK500_20160222_115324_1281_721.jpg Annotatio\CRACK500_20160222_115324_1281_721.png
images\Rissbilder_for_Florian_9S6A3110_219_1288_3254_2538.jpg Annotatio\Rissbilder_for_Florian_9S6A3110_219_1288_3254_2538.png
